age,tex86
142,0.662
284,0.662
375,0.652
466,0.66
558,0.664
649,0.661
722,0.647
832,0.669
923,0.646
1015,0.657
1106,0.665
1198,0.671
1299,0.659
1494,0.662
1689,0.672
1884,0.679
2078,0.672
2273,0.663
2468,0.666
2663,0.667
2805,0.672
2912,0.664
3020,0.667
3127,0.661
3191,0.644
3342,0.674
3500,0.656
3653,0.666
3883,0.653
4075,0.643
4266,0.643
4458,0.641
4650,0.639
4803,0.637
5033,0.649
5225,0.629
5417,0.636
5609,0.647
5800,0.644
5992,0.637
6222,0.631
6494,0.633
6730,0.625
7025,0.636
7262,0.67
7528,0.684
7882,0.649
8148,0.675
8554,0.669
9124,0.686
9745,0.617
10043,0.616
10455,0.591
10866,0.569
11277,0.538
11684,0.525
12152,0.518
12464,0.528
12932,0.56
13244,0.568
13634,0.536
14024,0.563
14253,0.586
14585,0.518
14890,0.475
15196,0.482
15451,0.452
15706,0.456
15961,0.443
16216,0.474
16505,0.506
16642,0.524
16983,0.528
17325,0.525
17667,0.492
18008,0.516
18350,0.48
18623,0.463
18960,0.482
19211,0.496
19461,0.468
19762,0.467
19962,0.499
20213,0.492
20463,0.483
20714,0.477
20964,0.475
21214,0.469
21540,0.456
21715,0.471
21979,0.46
22252,0.483
22525,0.463
22853,0.467
23071,0.462
23344,0.462
23672,0.479
23835,0.501
24163,0.491
24411,0.518
24643,0.552
24875,0.505
25107,0.507
25339,0.492
25571,0.496
25803,0.496
26035,0.491
26300,0.503
26335,0.524
26375,0.503
26436,0.516
26486,0.548
26536,0.523
26586,0.535
26617,0.522
