age,tex86
6.8499,0.60176
7.8163,0.60646
8.7826,0.60507
9.749,0.61695
10.715,0.60632
11.682,0.65664
12.648,0.62447
13.614,0.57787
14.279,0.60443
14.744,0.59746
15.208,0.59144
15.673,0.5537
16.137,0.59444
16.602,0.58153
17.066,0.53651
17.617,0.54232
18.226,0.54958
18.835,0.53608
19.444,0.54251
20.053,0.54242
20.662,0.56422
21.271,0.5666
21.88,0.56755
22.489,0.55791
23.098,0.54303
23.707,0.54401
24.316,0.56001
24.925,0.57346
25.534,0.57192
26.143,0.57481
26.752,0.56304
27.361,0.52395
27.97,0.57877
28.579,0.57066
29.188,0.58675
29.797,0.57439
30.406,0.56334
31.015,0.54209
31.624,0.52493
32.233,0.60427
32.842,0.53123
33.451,0.52627
34.06,0.57222
34.669,0.57381
35.278,0.57165
35.886,0.61646
36.495,0.57217
37.105,0.57912
37.714,0.53212
38.322,0.54833
38.931,0.54039
39.54,0.54459
40.149,0.5093
40.758,0.51922
41.367,0.54256
41.976,0.52586
42.585,0.54041
43.194,0.52278
43.803,0.55572
44.416,0.58383
45.062,0.56892
45.709,0.53819
46.355,0.55929
47.001,0.54181
47.648,0.51317
48.378,0.52542
49.111,0.50535
49.845,0.50988
50.579,0.51042
51.741,0.5318
53.246,0.56187
54.613,0.55752
54.995,0.54046
55.376,0.53919
55.757,0.51164
56.138,0.5404
56.519,0.55819
57.096,0.58752
57.786,0.61147
58.477,0.62515
59.168,0.59592
59.858,0.60037
60.549,0.56527
61.24,0.56762
61.931,0.59441
62.621,0.60407
63.312,0.57033
64.003,0.58679
64.694,0.5999
65.384,0.5812
66.075,0.57221
66.766,0.55432
67.456,0.55641
68.147,0.54867
68.838,0.57105
69.528,0.56479
70.219,0.55395
70.91,0.51823
71.6,0.50807
72.291,0.51447
72.982,0.61157
73.673,0.6166
74.363,0.59734
75.054,0.61495
75.745,0.56303
76.436,0.52078
77.126,0.5585
77.817,0.5598
78.508,0.58292
79.198,0.53591
79.889,0.58205
80.58,0.55699
81.27,0.52977
81.961,0.55795
82.652,0.57261
83.787,0.60789
84.947,0.58091
86.107,0.61174
87.267,0.53212
88.58,0.5397
89.93,0.61925
91.281,0.58518
92.631,0.587
93.982,0.54843
95.332,0.54715
96.683,0.55386
98.033,0.56791
99.383,0.55622
100.73,0.57669
102.08,0.54059
103.43,0.55917
104.79,0.60133
106.14,0.53707
107.49,0.52416
109.36,0.54553
111.99,0.55479
114.62,0.55884
117.25,0.55599
119.87,0.56645
122.5,0.5967
124.79,0.61041
125.68,0.63253
126.58,0.64816
127.47,0.63386
128.37,0.627
129.26,0.63079
130.16,0.6306
131.05,0.62193
131.95,0.61763
132.84,0.58105
133.74,0.55583
134.63,0.5563
135.64,0.54479
136.83,0.56103
138.02,0.57079
139.21,0.54227
140.4,0.5564
141.59,0.56445
142.78,0.56481
143.97,0.5895
145.16,0.60033
146.35,0.58507
147.54,0.60874
151.54,0.61353
155.77,0.61438
158.82,0.60812
160.3,0.58368
161.78,0.57304
163.26,0.58157
164.74,0.53939
166.22,0.55346
167.7,0.52613
169.22,0.61785
170.76,0.59635
172.31,0.5375
173.86,0.52235
175.41,0.5017
176.96,0.59162
178.5,0.57937
180.05,0.54662
181.6,0.58673
183.15,0.56082
184.7,0.56808
186.25,0.51872
187.19,0.57529
187.79,0.56601
188.39,0.54608
189,0.55168
189.6,0.54369
190.2,0.56703
190.8,0.59844
191.4,0.5658
192,0.60856
