depth,tex86
91.51,0.79
92.95,0.74
93.83,0.77
95.96,0.7
96.94,0.87
97.89,0.87
98.9,0.89
99.93,0.89
101.23,0.89
103.14,0.91
104.58,0.89
105.51,0.86
106.81,0.88
107.9,0.93
108.28,0.92
108.62,0.91
108.74,0.91
108.92,0.91
109.04,0.89
109.35,0.86
109.44,0.85
109.76,0.78
109.8,0.84
109.93,0.78
110.05,0.73
110.08,0.76
110.14,0.72
110.17,0.71
110.25,0.7
110.26,0.7
110.35,0.69
110.41,0.71
110.54,0.71
110.63,0.7
110.72,0.71
110.73,0.66
110.81,0.68
110.93,0.7
111.11,0.7
111.21,0.69
111.38,0.7
111.4,0.72
111.52,0.7
111.61,0.7
111.82,0.71
111.98,0.71
112.11,0.73
112.33,0.71
112.5,0.71
112.59,0.7
112.67,0.69
112.78,0.68
